t,ld,rd,la,ra
-0.036,0.000,0.000,0.000,0.000
0.053,0.000,0.000,0.000,0.000
0.144,0.000,0.000,0.000,0.000
0.234,0.000,0.000,0.000,0.000
0.323,0.000,0.000,0.000,0.000
0.414,0.000,0.000,0.000,0.000
0.504,0.000,0.000,0.000,0.000
0.594,0.000,0.000,0.000,0.000
0.684,0.000,0.000,0.000,0.000
0.774,0.077,0.000,0.000,0.000
0.864,0.731,0.000,0.000,0.000
0.954,1.000,0.000,0.000,0.000
1.044,1.000,0.000,0.000,0.000
1.134,1.000,0.000,0.000,0.000
1.223,1.000,0.000,0.000,0.000
1.314,1.000,0.000,0.000,0.000
1.404,1.000,0.000,0.000,0.000
1.494,1.000,0.000,0.000,0.000
1.584,1.000,0.000,0.000,0.000
1.674,1.000,0.000,0.000,0.000
1.764,1.000,0.000,0.000,0.000
1.853,1.000,0.000,0.000,0.000
1.944,1.000,0.000,0.000,0.000
2.034,1.000,0.000,0.000,0.000
2.124,1.000,0.000,0.000,0.000
2.213,1.000,0.000,0.000,0.000
2.303,1.000,0.000,0.000,0.000
2.393,1.000,0.000,0.000,0.000
2.483,0.574,0.000,0.000,0.000
2.574,0.285,0.000,0.000,0.000
2.663,0.000,0.000,0.000,0.000
2.753,0.261,0.000,0.000,0.000
2.843,1.000,0.000,0.000,0.000
2.933,0.000,0.000,0.000,0.000
3.023,0.000,0.000,0.000,0.000
3.114,0.000,0.000,0.000,0.000
3.232,0.000,0.000,0.000,0.000
